अ
आ
ब
भ
ल
स
आ
श
ए
च
ऌ
ष
ई
छ
ऴ
ट
ऍ
ड
ॡ
त
ऎ
ढ
म
ठ
ऐ
फ
न
द
इ
फ़
ङ
थ
ओ
ग
ञ
ध
ऑ
घ
ण
ड़
ऒ
ग़
ऩ
ढ़
ऊ
ह
ॐ
व
औ
ज
प
य
उ
झ
क़
य़
क
र
ज़
ख
ऋ
ख़
ॠ
ऱ
