悄,[qiāo] see 悄悄[qiao1 qiao1]; [qiǎo] quiet; sad; 
脚,[jiǎo] foot; leg (of an animal or an object); base (of an object); CL:雙|双[shuang1],隻|只[zhi1]; classifier for kicks; [jué] variant of 角[jue2]; role; 
惶,[huáng] frightened; 
我,[wǒ] I; me; my; 
抗,[kàng] to resist; to fight; to defy; anti-; 
抵,[dǐ] to press against; to support; to prop up; to resist; to equal; to balance; to make up for; to mortgage; to arrive at; 
脖,[bó] neck; 
拱,[gǒng] to cup one's hands in salute; to surround; to arch; to dig earth with the snout; arched; 
拼,[pīn] to piece together; to join together; to stake all; adventurous; at the risk of one's life; to spell; 
脑,[nǎo] brain; mind; head; essence; 
挑,[tiāo] to carry on a shoulder pole; to choose; to pick; to nitpick; [tiǎo] to raise; to dig up; to poke; to prick; to incite; to stir up; 
换,[huàn] to exchange; to change (clothes etc); to substitute; to switch; to convert (currency); 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
摔,[shuāi] to throw down; to fall; to drop and break; 
救,[jiù] to save; to assist; to rescue; 
胆,[dǎn] the gall; the nerve; courage; guts; gall bladder; 
方,[Fāng] surname Fang; [fāng] square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
是,[shì] is; are; am; yes; to be; 
晚,[wǎn] evening; night; late; 
更,[gēng] to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard); [gèng] more; even more; further; still; still more; 
有,[yǒu] to have; there is; there are; to exist; to be; 
朋,[péng] friend; 
肠,[cháng] intestines; [cháng] old variant of 腸|肠[chang2]; 
望,[wàng] full moon; to hope; to expect; to visit; to gaze (into the distance); to look towards; towards; 
